recv_wall_ns,send_wall_ns,delay_ms,sim_s,seq,veh,edge,x,y,speed,bytes
1761732231976857000,1761732231976063000,0.794,50.000,226,veh3,823695811#2,2847.480,1216.760,27.760,553
1761732231976857000,1761732231976333000,0.524,50.000,227,veh5,823695811#13,1991.510,1294.300,19.780,553
1761732231976857000,1761732231976558000,0.299,50.000,228,veh6,157809622#1,1765.910,1364.400,22.650,553
1761732231976857000,1761732231976781000,0.076,50.000,229,veh7,1239033319,1488.750,868.030,11.110,553
1761732231999426000,1761732231995554000,3.872,51.000,230,veh1,-215087578#1,2562.380,1013.790,13.850,569
1761732231999426000,1761732231995699000,3.727,51.000,231,veh10,:cluster_2246072684_3547296548_13,1354.610,1292.950,13.610,569
1761732231999426000,1761732231995894000,3.532,51.000,232,veh11,750322898#8,2886.870,1229.300,5.340,569
1761732231999426000,1761732231996044000,3.382,51.000,233,veh2,215189962,991.340,660.980,12.230,569
1761732231999426000,1761732231996184000,3.242,51.000,234,veh3,823695811#3,2820.110,1216.820,27.380,569
1761732231999426000,1761732231996322000,3.104,51.000,235,veh5,823695811#13,1976.800,1297.670,15.280,569
1761732231999426000,1761732231996459000,2.967,51.000,236,veh6,157809622#1,1784.190,1359.570,18.910,569
1761732231999426000,1761732231996588000,2.838,51.000,237,veh7,1239033319,1489.930,874.770,6.840,569
1761732232018231000,1761732232016648000,1.583,52.000,238,veh1,-215087578#1,2560.860,1027.340,13.640,573
1761732232018231000,1761732232016944000,1.287,52.000,239,veh10,:cluster_2246072684_3547296548_13,1348.270,1305.030,13.790,573
1761732232018231000,1761732232017120000,1.111,52.000,240,veh11,750322898#8,2894.680,1228.940,7.820,573
1761732232018231000,1761732232017402000,0.829,52.000,241,veh2,215189962,982.220,669.740,12.650,573
1761732232018231000,1761732232017674000,0.557,52.000,242,veh3,823695811#3,2792.720,1216.990,27.390,573
1761732232018231000,1761732232017830000,0.401,52.000,243,veh5,823695811#13,1966.050,1298.170,10.780,573
1761732232018231000,1761732232017984000,0.247,52.000,244,veh6,157809622#1,1799.300,1355.580,15.620,573
1761732232018231000,1761732232018148000,0.083,52.000,245,veh7,:11510232063_1,1490.620,880.030,5.320,573
1761732232039699000,1761732232037481000,2.218,53.000,246,veh1,-215087578#1,2559.310,1041.120,13.870,617
1761732232039699000,1761732232037782000,1.917,53.000,247,veh10,-215198312#2,1347.850,1318.320,13.980,617
1761732232039699000,1761732232038122000,1.577,53.000,248,veh11,750322898#8,2903.880,1228.510,9.210,617
1761732232039699000,1761732232038394000,1.305,53.000,249,veh14,420791860,2758.210,1057.150,0.000,617
1761732232039699000,1761732232038615000,1.084,53.000,250,veh2,215189962,976.340,675.380,8.150,617
1761732232039699000,1761732232038892000,0.807,53.000,251,veh3,823695811#3,2765.440,1217.330,27.290,617
1761732232039699000,1761732232039171000,0.528,53.000,252,veh5,823695811#13,1959.760,1298.060,6.290,617
1761732232039699000,1761732232039406000,0.293,53.000,253,veh6,157809622#1,1810.050,1352.750,11.120,617
1761732232039699000,1761732232039629000,0.070,53.000,254,veh7,:11510232063_1,1488.450,884.150,4.920,617
1761732232060787000,1761732232058213000,2.574,54.000,255,veh1,-215087578#1,2557.530,1055.010,14.010,622
1761732232060787000,1761732232058474000,2.313,54.000,256,veh10,:3670021665_13,1351.120,1331.360,13.450,622
1761732232060787000,1761732232058759000,2.028,54.000,257,veh11,750322898#8,2915.460,1228.080,11.590,622
1761732232060787000,1761732232059084000,1.703,54.000,258,veh14,420791860,2758.070,1055.040,2.310,622
1761732232060787000,1761732232059410000,1.377,54.000,259,veh2,:3965355311_2,969.600,682.470,9.800,622
1761732232060787000,1761732232059727000,1.060,54.000,260,veh3,823695811#3,2738.620,1218.190,26.840,622
1761732232060787000,1761732232060039000,0.748,54.000,261,veh5,:4322167194_0,1951.800,1296.140,8.280,622
1761732232060787000,1761732232060341000,0.446,54.000,262,veh6,157809622#1,1816.460,1351.060,6.620,622
1761732232060787000,1761732232060667000,0.120,54.000,263,veh7,1212211116#2,1483.600,885.570,5.060,622
1761732232081661000,1761732232079339000,2.322,55.000,264,veh1,-215087578#1,2555.600,1068.870,13.980,645
1761732232081661000,1761732232079610000,2.051,55.000,265,veh10,-215198312#1,1354.700,1345.440,14.520,645
1761732232081661000,1761732232079858000,1.803,55.000,266,veh11,750322898#8,2928.490,1227.850,13.030,645
1761732232081661000,1761732232080099000,1.562,55.000,267,veh14,420791860,2756.900,1050.610,4.580,645
